date,AdrActCnt,IssTotNtv,NVTAdj,NVTAdj90,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValMeanNtv,TxTfrValMedNtv,TxTfrValNtv
2018-03-09,15,0,23350.25325193,4318.8363150199675,181043076.000076,11,11,7753.3667,704.851518181818,227.8,7753.3667
2018-03-10,9,0,32182.57391584,4371.596482429642,181043076.000076,7,7,5625.5002,803.642885714286,154.553,5625.5002
2018-03-11,13,0,41652.27430267,4394.021622090783,181043076.000076,14,14,4346.53519,310.466799285714,184.81935,4346.53519
2018-03-12,17,0,14597.92887743,4388.258777754866,181043076.000076,15,15,12401.97,826.798,220,12401.97
2018-03-13,9,0,64138.17702023,4397.627767203366,181043076.000076,6,6,2822.7038,470.450633333333,41.9195,2822.7038
2018-03-14,24,0,19094.22940195,4391.739686930798,181043076.000076,23,23,9481.5597,412.241726086957,100.5,9481.5597
2018-03-15,28,0,64457.47481098,4388.848566427786,181043076.000076,23,23,2808.7212,122.118313043478,7.72,2808.7212
2018-03-16,17,0,36033.83596139,4397.221982827112,181043076.000076,16,16,5024.2521,314.01575625,52.7284,5024.2521
2018-03-17,8,0,75403.67121846,4488.491135037488,181043076.000076,6,6,2400.9849,400.16415,314.1,2400.9849
2018-03-18,12,0,62966.12138797,4491.301802859825,181043076.000076,10,10,2875.245799,287.5245799,98.4542,2875.245799
2018-03-19,6,0,422737.18611369,4510.350703509595,181043076.000076,5,5,428.2639,85.65278,57.7627,428.2639
2018-03-20,10,0,78602.66256355,5299.261998352417,181043076.000076,8,8,2303.269,287.908625,51.94225,2303.269
2018-03-21,17,0,30006.25173214,5305.580221215972,181043076.000076,14,14,6033.51187,430.965133571429,54.5087,6033.51187
2018-03-22,5,0,89138.78595375,7866.78439641591,181043076.000076,5,5,2031.0247,406.20494,17.5,2031.0247
2018-03-23,17,0,8487.1214012,7923.334603478899,181043076.000076,14,14,21331.5054,1523.67895714286,49.725,21331.5054
2018-03-24,17,0,47838.01661142,7970.647368069081,181043076.000076,16,16,3784.502135,236.5313834375,63.00995,3784.502135
2018-03-25,8,0,526298.26220475,8137.280570441675,181043076.000076,6,6,343.9933,57.3322166666667,57.09665,343.9933
2018-03-26,20,0,11758.4622453,8388.002730540682,181043076.000076,17,17,15396.8327,905.696041176471,143.5152,15396.8327
2018-03-27,7,0,15942.0927234,8467.774123643683,181043076.000076,4,4,11356.293,2839.07325,669.2266,11356.293
2018-03-28,27,0,80188.78450723,8594.57197960055,181043076.000076,21,21,2257.71069,107.510032857143,7.6,2257.71069
